                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1664,                 1.3864,                 1.2171,                0.65086,                0.54861,                0.61758,                0.45583,                 1.0799,                 1.0969,                 1.1258,                 0.0937,                 0.0007,                 0.0007
                      1,                 1.1815,                 1.4208,                 1.2539,                0.68699,                0.58578,                0.64423,                0.47892,                 1.0532,                 1.0663,                 1.1091,               0.086485,              0.0014851,              0.0014851
                      2,                 1.1643,                 1.3072,                 1.2425,                0.70387,                0.57333,                0.65962,                0.48844,                 1.0738,                 1.0587,                 1.1138,               0.079254,              0.0022545,              0.0022545
                      3,                 1.1271,                 1.1829,                 1.1792,                0.69755,                0.60633,                 0.6912,                0.51398,                 1.0571,                 1.0001,                 1.1007,               0.072008,              0.0030079,              0.0030079
                      4,                 1.0639,                 1.1776,                 1.1712,                0.69576,                0.63914,                0.69671,                0.52366,                 1.0506,                  1.007,                 1.1047,               0.064746,              0.0037456,              0.0037456
                      5,                 1.1226,                 1.1686,                 1.1914,                0.73398,                0.64282,                0.72903,                0.53892,                 1.0611,                 0.9655,                 1.1084,               0.057467,              0.0044673,              0.0044673
                      6,                 1.0586,                 1.0481,                  1.142,                0.73319,                0.67613,                0.73664,                0.53046,                  1.069,                0.96954,                 1.1187,               0.050173,              0.0051733,              0.0051733
                      7,                 1.1013,                 1.1382,                 1.2045,                0.72867,                0.63686,                0.71633,                0.52626,                 1.0788,                0.98528,                 1.1188,               0.042863,              0.0058634,              0.0058634
                      8,                 1.1009,                   1.18,                 1.1639,                0.72718,                0.66891,                0.74374,                0.54726,                 1.0688,                0.95439,                  1.113,               0.035538,              0.0065377,              0.0065377
                      9,                 1.1165,                 1.0949,                 1.1688,                0.76932,                0.61509,                0.71741,                0.53101,                 1.0879,                 1.0083,                 1.1212,               0.028196,              0.0071961,              0.0071961
